code,status,message,date
uff.com/,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-02-19 13:58:50"
"Hello :)http://en.m.wikipedia.org",CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-02-19 14:03:03"
"Hello :)",CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-02-19 14:05:25"
dvice.;;,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-02-19 14:10:23"
g,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-02-19 14:20:15"
g,TAP_INVALID,"Next tap is allowed after 2023-02-19 02:21:15","2023-02-19 14:21:13"
https://www.memorylinks.com/2534,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-02-19 14:21:31"
https://www.memorylinks.com/2534,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-02-19 14:28:44"
