code,status,message,date
G-CDWKMP,OK,"Scan successful!","2023-03-18 06:32:06"
G-HG3QXM,OK,"Scan successful!","2023-03-18 06:35:40"
G-8S3FND,OK,"Scan successful!","2023-03-18 06:36:59"
G-QNFONG,OK,"Scan successful!","2023-03-18 06:40:30"
G-QNFONG,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 06:40:32"
G-XK8K0A,OK,"Scan successful!","2023-03-18 07:05:12"
G-TG0XG9,OK,"Scan successful!","2023-03-18 07:48:51"
G-K9JBDS,OK,"Scan successful!","2023-03-18 08:00:42"
G-3DKRSQ,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 08:00:48"
G-3DKRSQG-3DKRSQG-3DKRSQG-3DKRSQ,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 08:00:53"
G-OOWPW3,OK,"Scan successful!","2023-03-18 08:01:48"
G-TXHWHC,OK,"Scan successful!","2023-03-18 08:08:44"
G-TXHWHC,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 08:08:50"
G-BY4LZT,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 08:08:54"
G-PQ7QUU,OK,"Scan successful!","2023-03-18 08:42:39"
G-T2RKQF,OK,"Scan successful!","2023-03-18 08:45:47"
G-T2RKQF,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 08:45:53"
DT-3ASGXZ,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 08:47:21"
DT-3ASGXZ,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 08:47:25"
C8,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 08:55:55"
G-LOJM1Z,OK,"Scan successful!","2023-03-18 09:00:26"
G-U0ZYYO,OK,"Scan successful!","2023-03-18 09:09:59"
G-XBLZ7A,OK,"Scan successful!","2023-03-18 09:11:41"
G-YCNHJL,VALID_NOT_YET_ALLOWED,"Your code is valid but not yet allowed to be used.","2023-03-18 09:14:07"
G-N9SPZC,OK,"Scan successful!","2023-03-18 09:16:14"
G-BYWZ28,OK,"Scan successful!","2023-03-18 09:17:31"
G-MNNN82,OK,"Scan successful!","2023-03-18 09:18:28"
G-DZNTDJ,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:18:33"
G-DZNTDJ,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:18:36"
G-JWYW32,OK,"Scan successful!","2023-03-18 09:19:05"
G-6K9GD5,OK,"Scan successful!","2023-03-18 09:19:35"
G-MUERWS,OK,"Scan successful!","2023-03-18 09:20:39"
G-WI2KH3,OK,"Scan successful!","2023-03-18 09:25:07"
G-8GATCI,OK,"Scan successful!","2023-03-18 09:25:39"
G-QQC1A2,OK,"Scan successful!","2023-03-18 09:25:51"
G-OCWWVU,OK,"Scan successful!","2023-03-18 09:26:01"
G-2AGHFX,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:26:16"
G-2AGHFX,OK,"Scan successful!","2023-03-18 09:26:35"
