code,status,message,date
G-FGWWVC,OK,"Scan successful!","2023-03-18 09:27:25"
G-GJYBRW,OK,"Scan successful!","2023-03-18 09:27:50"
G-QB7ASI,OK,"Scan successful!","2023-03-18 09:28:23"
G-QB7ASI,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:28:29"
G-QDUYAF,OK,"Scan successful!","2023-03-18 09:34:45"
G-QDUYAF,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:34:54"
G-B07BIA,OK,"Scan successful!","2023-03-18 09:42:55"
G-B07BIA,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:42:59"
G-UXLY9X,OK,"Scan successful!","2023-03-18 09:43:07"
G-UXLY9X,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:43:10"
G-FG0NH1,OK,"Scan successful!","2023-03-18 09:44:38"
G-FG0NH1,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:44:40"
G-XFBYQA,OK,"Scan successful!","2023-03-18 09:44:51"
G-NAGGDM,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:45:06"
G-VTCK0Y,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:45:46"
G-FG0NH1,OK,"Scan successful!","2023-03-18 09:51:13"
G-VTCK0Y,OK,"Scan successful!","2023-03-18 09:52:45"
G-K3SF3W,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:52:53"
G-NP7ISI,OK,"Scan successful!","2023-03-18 09:54:41"
G-NP7ISI,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:54:45"
G-NP7ISIG-NP7ISIG-NP7ISIG-NP7ISIG-NP7ISI,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:54:51"
G-CHAB86G-NP7ISIG-NP7ISIG-CHAB86G-NP7ISI,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:54:55"
G-AEZ58D,OK,"Scan successful!","2023-03-18 09:56:16"
G-AEZ58D,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:56:19"
G-MFNAAY,OK,"Scan successful!","2023-03-18 09:56:30"
G-I3YFMQ,OK,"Scan successful!","2023-03-18 09:56:53"
G-XICESA,OK,"Scan successful!","2023-03-18 09:57:27"
G-QU5WEW,OK,"Scan successful!","2023-03-18 09:59:37"
G-QU5WEW,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 09:59:40"
G-I4CU8W,OK,"Scan successful!","2023-03-18 10:00:23"
G-TFJO4F,OK,"Scan successful!","2023-03-18 10:06:49"
G-SYVDEH,OK,"Scan successful!","2023-03-18 10:11:04"
G-6EBZPD,OK,"Scan successful!","2023-03-18 10:22:31"
G-6MS0ZJ,OK,"Scan successful!","2023-03-18 10:31:35"
G-F9ITAH,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 10:31:41"
G-F9ITAH,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 10:31:44"
G-F9ITAH,OK,"Scan successful!","2023-03-18 10:31:57"
G-F9ITAH,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 10:32:01"
G-XGDFIN,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 10:32:05"
G-MDPENS,OK,"Scan successful!","2023-03-18 10:32:14"
G-LDNMMV,OK,"Scan successful!","2023-03-18 10:38:06"
G-M3NKVHDT-RA1O8VG-4G2BWQG-4G2BWQ,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-18 10:44:09"
G-M3NKVH,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 10:44:13"
G-NTXKZD,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 10:45:37"
G-Y8SJF3,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 10:51:41"
G-DJVA1Y,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 10:56:12"
G-M5MNPZ,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 11:03:13"
G-M5MNPZ,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 11:03:17"
G-M3XIAX,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 11:04:50"
G-R2L69Y,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 11:18:07"
G-R2L69Y,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 11:18:10"
G-R2L69Y,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 11:18:19"
G-2G9GRJ,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 11:31:40"
G-SNTXA1,OK,"Scan successful!","2023-03-18 11:52:46"
G-YARDSV,OK,"Scan successful!","2023-03-18 11:58:39"
G-PQU6GX,OK,"Scan successful!","2023-03-18 12:01:41"
G-4VE6J3,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 12:01:54"
DT-TDOAHH,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-18 12:05:53"
DT-TDOAHHDT-TDOAHHDT-TDOAHHDT-TDOAHH,,,"2023-03-18 12:05:59"
DT-TDOAHH,TAP_INVALID,"Next tap is allowed after 2023-03-18 12:06:54","2023-03-18 12:06:02"
G-UVJGHD,OK,"Scan successful!","2023-03-18 12:09:51"
036000291452,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-18 14:13:25"
036000291452,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-18 14:19:27"
G-M7ZIEI,OK,"Scan successful!","2023-03-18 14:21:11"
G-M7ZIEI,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 14:21:15"
G-4E9F4L,OK,"Scan successful!","2023-03-18 14:37:15"
G-EALEZO,OK,"Scan successful!","2023-03-18 14:43:25"
G-EALEZO,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 14:43:28"
G-UGEWCO,VALID_NOT_YET_ALLOWED,"Your code is valid but not yet allowed to be used.","2023-03-18 15:13:43"
G-UGEWCOG-UGEWCOG-UGEWCOG-UGEWCO,INVALID_REQUEST,"Previous request is not yet validated","2023-03-18 15:13:47"
G-UGEWCO,TAP_INVALID,"Next tap is allowed after 2023-03-18 03:14:44","2023-03-18 15:13:48"
ON-G7JT64,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-18 15:57:23"
G-NPYJMG,OK,"Scan successful!","2023-03-18 17:42:42"
