code,status,message,date
O,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-17 15:06:55"
TF,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-17 15:07:20"
G-DUVZTF,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 15:07:22"
G-46OESP,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 15:07:26"
G-DUVZTF,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 15:07:28"
G-DUVZTF,INVALID_REQUEST,"Previous request is not yet validated","2023-03-17 15:07:30"
G-E3R3X3,OK,"Scan successful!","2023-03-17 15:41:42"
G-VEKTJJ,OK,"Scan successful!","2023-03-17 16:24:56"
G-KVJYA5,CODE_INVALID,"Code not accepted. The code is not allowed to be used here or does not exist in our records.","2023-03-17 17:30:44"
G-HQIRHW,VALID_NOT_EXPIRED,"Your code is valid but it is expired already.","2023-03-17 18:07:26"
